address_id,address,district,postal_code
595,1074 Sanaa Parkway,Loja,22474
596,1759 Niznekamsk Avenue,al-Manama,39414
597,32 Liaocheng Way,Minas Gerais,1944
598,42 Fontana Avenue,Fejr,14684
599,1895 Zhezqazghan Drive,California,36693
600,1837 Kaduna Parkway,Inner Mongolia,82580
601,844 Bucuresti Place,Liaoning,36603
602,1101 Bucuresti Boulevard,West Greece,97661
603,1103 Quilmes Boulevard,Piura,52137
604,1331 Usak Boulevard,Vaud,61960
605,1325 Fukuyama Street,Heilongjiang,27107
